Holdings details

Mid-Cap ETF (VO)


Equity,as of 09/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BMH4FS1,Constellation Energy Corp,CEG,0.99%,Electric Utilities,US,---,"$1,735,266,611.78","6,673,589"
,2145084,Amphenol Corp,APH,0.95%,"Electronic Equipment, Instruments & Components",US,---,"$1,661,855,170.68","25,504,223"
,BYVYHH4,Welltower Inc,WELL,0.94%,Health Care REITs,US,---,"$1,651,633,346.86","12,900,362"
,B11FJK3,TransDigm Group Inc,TDG,0.92%,Aerospace & Defense,US,---,"$1,611,091,338.39","1,128,903"
,BN78DQ4,Palantir Technologies Inc,PLTR,0.91%,Software,US,---,"$1,593,399,987.60","42,833,333"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.90%,Communications Equipment,US,---,"$1,588,695,664.20","3,533,340"
,2197137,Cintas Corp,CTAS,0.85%,Commercial Services & Supplies,US,---,"$1,493,821,221.68","7,255,786"
,BK4N0D7,Carrier Global Corp,CARR,0.83%,Building Products,US,---,"$1,461,895,520.01","18,162,449"
,2359506,Arthur J Gallagher & Co,AJG,0.74%,Insurance,US,---,"$1,305,566,647.95","4,640,035"
,2636607,Newmont Corp,NEM,0.74%,Metals & Mining,US,---,"$1,304,570,559.15","24,407,307"
,2250687,DR Horton Inc,DHI,0.68%,Household Durables,US,---,"$1,185,512,121.81","6,214,353"
,2724193,Realty Income Corp,O,0.67%,Retail REITs,US,---,"$1,169,662,606.98","18,443,119"
,2134781,United Rentals Inc,URI,0.65%,Trading Companies & Distributors,US,---,"$1,134,124,032.60","1,400,620"
,2130109,ONEOK Inc,OKE,0.64%,"Oil, Gas & Consumable Fuels",US,---,"$1,127,226,338.16","12,369,432"
,B03GQS4,Digital Realty Trust Inc,DLR,0.64%,Specialized REITs,US,---,"$1,122,108,667.59","6,933,873"
