iShares Russell 2000 ETF
Fund Holdings as of,"Oct 22, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"314,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FTAI","FTAI AVIATION LTD","Industrials","Equity","367,989,883.24","0.53","367,989,883.24","2,624,188.00","140.23","United States","NASDAQ","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","347,644,763.42","0.50","347,644,763.42","3,085,787.00","112.66","United States","NASDAQ","USD","1.00","USD","-"
"SFM","SPROUTS FARMERS MARKET INC","Consumer Staples","Equity","308,571,515.61","0.45","308,571,515.61","2,609,043.00","118.27","United States","NASDAQ","USD","1.00","USD","-"
"INSM","INSMED INC","Health Care","Equity","299,112,064.80","0.43","299,112,064.80","4,059,610.00","73.68","United States","NASDAQ","USD","1.00","USD","-"
"MLI","MUELLER INDUSTRIES INC","Industrials","Equity","238,590,189.22","0.34","238,590,189.22","2,901,851.00","82.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","237,590,381.25","0.34","237,590,381.25","4,426,875.00","53.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","234,165,489.75","0.34","234,165,489.75","942,885.00","248.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Industrials","Equity","226,199,006.49","0.33","226,199,006.49","999,863.00","226.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","214,291,524.12","0.31","214,291,524.12","1,440,228.00","148.79","United States","NASDAQ","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","204,017,720.15","0.29","204,017,720.15","1,569,005.00","130.03","United States","NASDAQ","USD","1.00","USD","-"
"ANF","ABERCROMBIE AND FITCH CLASS A","Consumer Discretionary","Equity","201,650,882.52","0.29","201,650,882.52","1,302,486.00","154.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS INC","Health Care","Equity","200,399,630.62","0.29","200,399,630.62","1,779,274.00","112.63","United States","NASDAQ","USD","1.00","USD","-"
"SSB","SOUTHSTATE CORP","Financials","Equity","192,343,345.20","0.28","192,343,345.20","1,978,841.00","97.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRS","CARPENTER TECHNOLOGY CORP","Materials","Equity","192,227,363.58","0.28","192,227,363.58","1,232,938.00","155.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","191,903,747.52","0.28","191,903,747.52","2,190,432.00","87.61","United States","NASDAQ","USD","1.00","USD","-"
"RVMD","REVOLUTION MEDICINES INC","Health Care","Equity","185,524,134.42","0.27","185,524,134.42","3,936,434.00","47.13","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","184,915,644.32","0.27","184,915,644.32","1,168,208.00","158.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
