iShares Core MSCI Total International Stock ETF
Fund Holdings as of,"Oct 24, 2024"
Inception Date,"Oct 18, 2012"
Shares Outstanding,"547,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","994,120,561.52","2.59","994,120,561.52","30,097,000.00","33.03","Taiwan","Taiwan Stock Exchange","USD","32.09","TWD","Nov 10, 1994"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","448,522,772.01","1.17","448,522,772.01","3,934,170.00","114.01","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.91","DKK","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","433,928,820.08","1.13","433,928,820.08","7,990,100.00","54.31","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","348,304,495.47","0.91","348,304,495.47","487,795.00","714.04","Netherlands","Euronext Amsterdam","USD","0.93","EUR","-"
"NESN","NESTLE SA","Consumer Staples","Equity","313,407,084.91","0.82","313,407,084.91","3,200,765.00","97.92","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"SAP","SAP","Information Technology","Equity","301,250,058.94","0.78","301,250,058.94","1,273,681.00","236.52","Germany","Xetra","USD","0.93","EUR","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","286,480,625.51","0.75","286,480,625.51","1,890,180.00","151.56","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","276,957,264.30","0.72","276,957,264.30","857,449.00","323.00","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"NOVN","NOVARTIS AG","Health Care","Equity","273,067,733.89","0.71","273,067,733.89","2,407,827.00","113.41","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"SHEL","SHELL PLC","Energy","Equity","252,396,357.45","0.66","252,396,357.45","7,662,188.00","32.94","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","239,224,822.72","0.62","239,224,822.72","5,833,958.00","41.01","Korea (South)","Korea Exchange (Stock Market)","USD","1,380.30","KRW","-"
"MC","LVMH","Consumer Discretionary","Equity","227,762,644.89","0.59","227,762,644.89","335,518.00","678.84","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","224,393,250.56","0.58","224,393,250.56","18,519,772.00","12.12","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","213,949,450.33","0.56","213,949,450.33","12,488,400.00","17.13","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","213,713,873.42","0.56","213,713,873.42","1,728,748.00","123.62","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","198,404,596.53","0.52","198,404,596.53","22,519,148.00","8.81","United Kingdom","London Stock Exchange","USD","0.77","GBP","Jan 01, 1998"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","193,785,609.40","0.50","193,785,609.40","2,036,755.00","95.14","Australia","Asx - All Markets","USD","1.51","AUD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","188,253,180.98","0.49","188,253,180.98","3,032,858.00","62.07","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"SIE","SIEMENS N AG","Industrials","Equity","179,416,728.74","0.47","179,416,728.74","925,917.00","193.77","Germany","Xetra","USD","0.93","EUR","-"
"BHP","BHP GROUP LTD","Materials","Equity","173,727,789.71","0.45","173,727,789.71","6,198,689.00","28.03","Australia","Asx - All Markets","USD","1.51","AUD","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","172,561,731.45","0.45","172,561,731.45","663,965.00","259.90","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"TTE","TOTALENERGIES","Energy","Equity","170,491,198.38","0.44","170,491,198.38","2,628,142.00","64.87","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"ALV","ALLIANZ","Financials","Equity","152,166,680.51","0.40","152,166,680.51","477,883.00","318.42","Germany","Xetra","USD","0.93","EUR","-"
"6501","HITACHI LTD","Industrials","Equity","147,462,580.48","0.38","147,462,580.48","5,636,900.00","26.16","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"3690","MEITUAN","Consumer Discretionary","Equity","146,970,359.50","0.38","146,970,359.50","6,107,090.00","24.07","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"SAN","SANOFI SA","Health Care","Equity","146,074,315.63","0.38","146,074,315.63","1,386,120.00","105.38","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","138,674,185.37","0.36","138,674,185.37","13,460,700.00","10.30","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","134,419,388.12","0.35","134,419,388.12","7,606,500.00","17.67","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"UBSG","UBS GROUP AG","Financials","Equity","129,774,406.86","0.34","129,774,406.86","4,019,202.00","32.29","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","128,786,690.37","0.34","128,786,690.37","4,255,246.00","30.27","Germany","Xetra","USD","0.93","EUR","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","127,220,275.04","0.33","127,220,275.04","701,750.00","181.29","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"TD","TORONTO DOMINION","Financials","Equity","121,390,209.23","0.32","121,390,209.23","2,134,695.00","56.87","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","118,554,982.32","0.31","118,554,982.32","3,719,886.00","31.87","India","National Stock Exchange Of India","USD","84.08","INR","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","117,648,603.81","0.31","117,648,603.81","1,473,507.00","79.84","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"CSL","CSL LTD","Health Care","Equity","114,994,158.41","0.30","114,994,158.41","590,502.00","194.74","Australia","Asx - All Markets","USD","1.51","AUD","-"
"OR","LOREAL SA","Consumer Staples","Equity","113,048,132.06","0.29","113,048,132.06","291,883.00","387.31","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"IBE","IBERDROLA SA","Utilities","Equity","111,277,602.50","0.29","111,277,602.50","7,348,212.00","15.14","Spain","Bolsa De Madrid","USD","0.93","EUR","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","111,114,177.47","0.29","111,114,177.47","1,818,700.00","61.10","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"AIR","AIRBUS GROUP","Industrials","Equity","109,474,244.45","0.28","109,474,244.45","718,456.00","152.37","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","109,435,995.49","0.28","109,435,995.49","5,258,826.00","20.81","India","National Stock Exchange Of India","USD","84.08","INR","-"
"ABBN","ABB LTD","Industrials","Equity","109,388,566.55","0.28","109,388,566.55","1,959,021.00","55.84","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"ENB","ENBRIDGE INC","Energy","Equity","109,201,501.45","0.28","109,201,501.45","2,651,257.00","41.19","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"1299","AIA GROUP LTD","Financials","Equity","108,317,930.11","0.28","108,317,930.11","13,597,400.00","7.97","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"REL","RELX PLC","Industrials","Equity","107,148,206.19","0.28","107,148,206.19","2,281,613.00","46.96","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","105,987,849.70","0.28","105,987,849.70","176,358.00","600.98","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"BP.","BP PLC","Energy","Equity","104,038,254.48","0.27","104,038,254.48","19,981,514.00","5.21","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","102,985,467.90","0.27","102,985,467.90","848,455.00","121.38","China","NASDAQ","USD","1.00","USD","-"
"6861","KEYENCE CORP","Information Technology","Equity","99,980,580.61","0.26","99,980,580.61","235,000.00","425.45","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","99,798,876.45","0.26","99,798,876.45","15,142,769.00","6.59","Taiwan","Taiwan Stock Exchange","USD","32.09","TWD","Sep 26, 1991"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","97,884,669.28","0.25","97,884,669.28","3,793,345.00","25.80","Australia","Asx - All Markets","USD","1.51","AUD","-"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","97,521,760.81","0.25","97,521,760.81","657,674.00","148.28","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"000660","SK HYNIX INC","Information Technology","Equity","95,307,736.00","0.25","95,307,736.00","663,740.00","143.59","Korea (South)","Korea Exchange (Stock Market)","USD","1,380.30","KRW","-"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","95,215,267.61","0.25","95,215,267.61","5,048,236.00","18.86","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
