 (VOO) , , ,  
Holding details,2024-09-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
,"2046251","AAPL","Apple Inc",398131755,$92764698915,7.23838,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"2588173","MSFT","Microsoft Corp",194696721,$83777999046.3,6.53715,"Software","US","Common Stock"
,"2379504","NVDA","NVIDIA Corp",644357896,$78250822890.24,6.10587,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2000019","AMZN","Amazon.com Inc",244647431,$45585155818.23,3.55699,"Broadline Retail","US","Common Stock"
,"B7TL820","META","Meta Platforms Inc",57226310,$32758628896.4,2.55614,"Interactive Media & Services","US","Common Stock"
,"BYVY8G0","GOOGL","Alphabet Inc",153469765,$25452960525.25,1.98608,"Interactive Media & Services","US","Common Stock"
,"2073390","BRK/B","Berkshire Hathaway Inc",47977519,$22082132894.94,1.72306,"Financial Services","US","Common Stock"
,"BYY88Y7","GOOG","Alphabet Inc",125822656,$21036289856.64,1.64145,"Interactive Media & Services","US","Common Stock"
,"BDZ78H9","AVGO","Broadcom Inc",121883218,$21024855105,1.64056,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"B616C79","TSLA","Tesla Inc",72676422,$19014332287.86,1.48368,"Automobiles","US","Common Stock"
,"2516152","LLY","Eli Lilly & Co",20664177,$18307220971.38,1.4285,"Pharmaceuticals","US","Common Stock"
,"2190385","JPM","JPMorgan Chase & Co",74528418,$15715062219.48,1.22624,"Banks","US","Common Stock"
,"2917766","UNH","UnitedHealth Group Inc",24187193,$14141768003.24,1.10347,"Health Care Providers & Services","US","Common Stock"
,"2326618","XOM","Exxon Mobil Corp",116380514,$13642123851.08,1.06449,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B2PZN04","V","Visa Inc",43490749,$11957781437.55,0.93306,"Financial Services","US","Common Stock"
,"2704407","PG","Procter & Gamble Co/The",61661761,$10679817005.2,0.83334,"Household Products","US","Common Stock"
,"B121557","MA","Mastercard Inc",21610422,$10671226383.6,0.83267,"Financial Services","US","Common Stock"
,"2434209","HD","Home Depot Inc/The",25973471,$10524450449.2,0.82122,"Specialty Retail","US","Common Stock"
,"2701271","COST","Costco Wholesale Corp",11612550,$10294757826,0.80329,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2475833","JNJ","Johnson & Johnson",63053863,$10218509037.78,0.79734,"Pharmaceuticals","US","Common Stock"
,"2936921","WMT","Walmart Inc",113754999,$9185716169.25,0.71676,"Consumer Staples Distribution & Retail","US","Common Stock"
,"B92SR70","ABBV","AbbVie Inc",46266602,$9136728562.96,0.71293,"Biotechnology","US","Common Stock"
,"2857817","NFLX","Netflix Inc",11241456,$7973227497.12,0.62215,"Entertainment","US","Common Stock"
,"2778844","MRK","Merck & Co Inc",66395169,$7539835391.64,0.58833,"Pharmaceuticals","US","Common Stock"
,"2206657","KO","Coca-Cola Co/The",101600911,$7301041464.46,0.5697,"Beverages","US","Common Stock"
,"2661568","ORCL","Oracle Corp",41867143,$7134161167.2,0.55667,"Software","US","Common Stock"
,"2295677","BAC","Bank of America Corp",176835379,$7016827838.72,0.54752,"Banks","US","Common Stock"
,"2007849","AMD","Advanced Micro Devices Inc",42393254,$6955885116.32,0.54276,"Semiconductors & Semiconductor Equipment","US","Common Stock"
